year,state_po,FIPS,vote_perc
2008,CA,06111,55.21
2008,CA,06113,67.07
2008,CA,06115,41.43
2008,CO,08001,58.22
2008,CO,08003,56.01
2008,CO,08005,55.69
2008,CO,08007,42.81
2008,CO,08009,24.64
2008,CO,08011,41.61
2008,CO,08013,72.29
2008,CO,08014,54.89
2008,CO,08015,49.0
2008,CO,08017,17.82
2008,CO,08019,57.78
2008,CO,08021,55.6
2008,CO,08023,73.36
2008,CO,08025,35.43
2008,CO,08027,34.69
2008,CO,08029,32.94
2008,CO,08031,75.45
2008,CO,08033,30.32
2008,CO,08035,40.81
2008,CO,08037,60.9
2008,CO,08039,28.92
2008,CO,08041,39.86
2008,CO,08043,34.36
2008,CO,08045,49.2
2008,CO,08047,59.19
2008,CO,08049,48.59
2008,CO,08051,62.64
2008,CO,08053,40.07
2008,CO,08055,54.6
2008,CO,08057,30.34
2008,CO,08059,53.6
2008,CO,08061,20.89
2008,CO,08063,26.5
2008,CO,08065,61.93
2008,CO,08067,57.39
2008,CO,08069,53.99
2008,CO,08071,52.68
2008,CO,08073,23.7
2008,CO,08075,31.7
2008,CO,08077,34.48
2008,CO,08079,43.34
2008,CO,08081,26.95
2008,CO,08083,39.42
2008,CO,08085,33.91
2008,CO,08087,37.26
2008,CO,08089,43.97
2008,CO,08091,53.46
2008,CO,08093,45.29
2008,CO,08095,27.52
2008,CO,08097,73.74
2008,CO,08099,32.22
2008,CO,08101,56.74
2008,CO,08103,20.81
2008,CO,08105,44.97
2008,CO,08107,62.66
2008,CO,08109,62.98
2008,CO,08111,53.23
2008,CO,08113,76.99
2008,CO,08115,34.64
2008,CO,08117,65.79
2008,CO,08119,34.97
2008,CO,08121,21.05
2008,CO,08123,44.67
2008,CO,08125,24.92
2008,CT,09001,58.7
2008,CT,09003,65.16
2008,CT,09005,51.62
2008,CT,09007,60.77
2008,CT,09009,60.99
2008,CT,09011,59.91
2008,CT,09013,59.64
2008,CT,09015,60.66
2008,DE,10001,54.38
2008,DE,10003,69.72
2008,DE,10005,45.24
2008,DC,11001,92.46
2008,FL,12001,60.2
2008,FL,12003,21.04
2008,FL,12005,29.16
2008,FL,12007,29.38
2008,FL,12009,44.33
2008,FL,12011,67.13
2008,FL,12013,29.16
2008,FL,12015,45.83
2008,FL,12017,41.31
2008,FL,12019,28.23
2008,FL,12021,38.35
2008,FL,12023,32.6
2008,FL,12027,43.26
2008,FL,12029,26.5
2008,FL,12031,48.73
2008,FL,12033,39.87
2008,FL,12035,50.43
2008,FL,12037,35.4
2008,FL,12039,69.22
2008,FL,12041,25.53
2008,FL,12043,39.29
2008,FL,12045,29.83
2008,FL,12047,42.31
2008,FL,12049,34.65
2008,FL,12051,45.94
2008,FL,12053,47.65
2008,FL,12055,40.5
2008,FL,12057,53.18
2008,FL,12059,16.84
2008,FL,12061,42.09
2008,FL,12063,35.57
2008,FL,12065,51.38
2008,FL,12067,19.11
2008,FL,12069,42.84
2008,FL,12071,44.45
2008,FL,12073,61.74
2008,FL,12075,35.84
2008,FL,12077,27.3
2008,FL,12079,47.94
2008,FL,12081,46.08
2008,FL,12083,43.72
2008,FL,12085,42.8
2008,FL,12086,57.89
2008,FL,12087,51.91
2008,FL,12089,27.72
2008,FL,12091,27.08
2008,FL,12093,39.95
2008,FL,12095,59.0
2008,FL,12097,59.56
2008,FL,12099,61.18
2008,FL,12101,47.67
2008,FL,12103,53.6
2008,FL,12105,46.51
2008,FL,12107,39.9
2008,FL,12109,33.81
2008,FL,12111,55.67
2008,FL,12113,25.56
2008,FL,12115,49.52
2008,FL,12117,48.25
2008,FL,12119,36.13
2008,FL,12121,27.83
2008,FL,12123,29.93
2008,FL,12125,24.58
2008,FL,12127,52.41
2008,FL,12129,36.94
2008,FL,12131,26.53
2008,FL,12133,25.72
2008,GA,13001,26.39
2008,GA,13003,32.3
2008,GA,13005,20.75
2008,GA,13007,50.15
2008,GA,13009,51.93
2008,GA,13011,16.46
2008,GA,13013,27.08
2008,GA,13015,26.77
2008,GA,13017,42.91
2008,GA,13019,22.81
2008,GA,13021,58.74
2008,GA,13023,27.21
2008,GA,13025,17.83
2008,GA,13027,43.04
2008,GA,13029,28.31
2008,GA,13031,40.08
2008,GA,13033,54.36
2008,GA,13035,33.71
2008,GA,13037,60.7
2008,GA,13039,37.94
2008,GA,13043,34.37
2008,GA,13045,32.95
2008,GA,13047,24.6
2008,GA,13049,32.48
2008,GA,13051,56.93
2008,GA,13053,50.21
2008,GA,13055,31.25
2008,GA,13057,23.83
2008,GA,13059,65.02
2008,GA,13061,61.04
2008,GA,13063,82.99
2008,GA,13065,36.68
2008,GA,13067,44.77
2008,GA,13069,35.0
2008,GA,13071,30.81
2008,GA,13073,28.37
2008,GA,13075,35.15
2008,GA,13077,28.98
2008,GA,13079,34.96
2008,GA,13081,40.86
2008,GA,13083,25.16
2008,GA,13085,16.36
2008,GA,13087,42.65
2008,GA,13089,78.99
2008,GA,13091,31.6
2008,GA,13093,51.39
2008,GA,13095,67.28
2008,GA,13097,50.51
2008,GA,13099,48.79
2008,GA,13101,16.93
2008,GA,13103,24.3
2008,GA,13105,40.47
2008,GA,13107,37.22
2008,GA,13109,35.64
2008,GA,13111,24.67
2008,GA,13113,34.24
2008,GA,13115,31.25
2008,GA,13117,20.44
2008,GA,13119,23.71
2008,GA,13121,67.06
2008,GA,13123,23.45
2008,GA,13125,14.71
2008,GA,13127,38.02
2008,GA,13129,24.24
2008,GA,13131,37.79
2008,GA,13133,42.16
2008,GA,13135,44.47
2008,GA,13137,19.58
2008,GA,13139,24.12
2008,GA,13141,81.38
2008,GA,13143,20.26
2008,GA,13145,28.07
2008,GA,13147,33.64
2008,GA,13149,24.66
2008,GA,13151,45.93
2008,GA,13153,39.5
2008,GA,13155,31.27
2008,GA,13157,21.56
2008,GA,13159,32.77
2008,GA,13161,25.69
2008,GA,13163,57.35
2008,GA,13165,43.08
2008,GA,13167,32.85
2008,GA,13169,36.76
2008,GA,13171,35.8
2008,GA,13173,36.96
2008,GA,13175,38.97
2008,GA,13177,23.69
2008,GA,13179,63.96
2008,GA,13181,37.36
2008,GA,13183,37.33
2008,GA,13185,44.98
2008,GA,13187,23.35
2008,GA,13189,41.8
2008,GA,13191,46.58
2008,GA,13193,65.23
2008,GA,13195,26.09
2008,GA,13197,43.32
2008,GA,13199,46.98
2008,GA,13201,29.88
2008,GA,13205,47.68
2008,GA,13207,33.85
2008,GA,13209,29.11
2008,GA,13211,33.78
2008,GA,13213,26.59
2008,GA,13215,59.62
2008,GA,13217,50.26
2008,GA,13219,28.16
2008,GA,13221,34.62
2008,GA,13223,30.23
2008,GA,13225,53.09
2008,GA,13227,20.3
2008,GA,13229,18.45
2008,GA,13231,19.2
2008,GA,13233,28.71
2008,GA,13235,34.83
2008,GA,13237,33.97
2008,GA,13239,53.59
2008,GA,13241,26.33
2008,GA,13243,57.01
2008,GA,13245,65.67
2008,GA,13247,54.44
2008,GA,13249,27.56
2008,GA,13251,46.66
2008,GA,13253,41.54
2008,GA,13255,40.15
2008,GA,13257,25.72
2008,GA,13259,62.0
2008,GA,13261,52.75
2008,GA,13263,64.03
2008,GA,13265,64.95
2008,GA,13267,28.78
2008,GA,13269,42.87
2008,GA,13271,42.57
2008,GA,13273,56.63
2008,GA,13275,41.82
2008,GA,13277,33.31
2008,GA,13279,30.59
2008,GA,13281,24.24
2008,GA,13283,37.64
2008,GA,13285,40.17
2008,GA,13287,40.16
2008,GA,13289,53.15
2008,GA,13291,23.38
2008,GA,13293,35.56
2008,GA,13295,25.89
2008,GA,13297,23.51
2008,GA,13299,32.49
2008,GA,13301,58.42
2008,GA,13303,51.98
2008,GA,13305,27.06
2008,GA,13307,46.35
2008,GA,13309,35.93
2008,GA,13311,20.2
2008,GA,13313,29.51
2008,GA,13315,30.92
2008,GA,13317,45.82
2008,GA,13319,49.18
2008,GA,13321,30.37
2008,HI,15001,75.94
2008,HI,15003,69.83
2008,HI,15007,74.99
2008,HI,15009,76.71
2008,ID,16001,45.84
2008,ID,16003,31.38
2008,ID,16005,42.14
2008,ID,16007,17.06
2008,ID,16009,33.79
2008,ID,16011,25.79
2008,ID,16013,65.72
2008,ID,16015,32.87
2008,ID,16017,40.11
2008,ID,16019,27.38
2008,ID,16021,31.35
2008,ID,16023,22.55
2008,ID,16025,30.26
2008,ID,16027,31.36
2008,ID,16029,16.75
2008,ID,16031,16.99
2008,ID,16033,17.07
2008,ID,16035,31.0
2008,ID,16037,25.98
2008,ID,16039,30.71
2008,ID,16041,11.83
2008,ID,16043,18.11
2008,ID,16045,27.26
2008,ID,16047,27.62
2008,ID,16049,24.57
2008,ID,16051,15.72
2008,ID,16053,26.2
2008,ID,16055,35.72
2008,ID,16057,51.91
2008,ID,16059,25.85
2008,ID,16061,26.55
2008,ID,16063,29.14
2008,ID,16065,12.46
2008,ID,16067,23.66
2008,ID,16069,39.97
2008,ID,16071,17.62
2008,ID,16073,23.26
2008,ID,16075,28.04
2008,ID,16077,36.14
2008,ID,16079,44.49
2008,ID,16081,49.42
2008,ID,16083,30.42
2008,ID,16085,45.41
2008,ID,16087,27.54
2008,IL,17001,38.26
2008,IL,17003,55.6
2008,IL,17005,48.5
2008,IL,17007,51.15
2008,IL,17009,38.38
2008,IL,17011,51.94
2008,IL,17013,52.72
2008,IL,17015,51.67
2008,IL,17017,49.74
2008,IL,17019,57.76
2008,IL,17021,45.81
2008,IL,17023,45.15
2008,IL,17025,37.57
2008,IL,17027,44.22
2008,IL,17029,50.77
2008,IL,17031,76.21
2008,IL,17033,42.53
2008,IL,17035,38.62
2008,IL,17037,57.53
2008,IL,17039,42.4
2008,IL,17041,38.63
2008,IL,17043,54.72
2008,IL,17045,45.34
2008,IL,17047,34.03
2008,IL,17049,31.26
2008,IL,17051,40.98
2008,IL,17053,34.87
2008,IL,17055,47.64
2008,IL,17057,59.62
2008,IL,17059,55.51
2008,IL,17061,45.1
2008,IL,17063,49.9
2008,IL,17065,42.12
2008,IL,17067,43.73
2008,IL,17069,39.56
2008,IL,17071,58.08
2008,IL,17073,53.18
2008,IL,17075,34.15
2008,IL,17077,59.72
2008,IL,17079,40.21
2008,IL,17081,43.53
2008,IL,17083,47.64
2008,IL,17085,54.49
2008,IL,17087,31.71
2008,IL,17089,55.23
2008,IL,17091,51.55
2008,IL,17093,53.06
2008,IL,17095,59.16
2008,IL,17097,59.26
2008,IL,17099,54.68
2008,IL,17101,46.14
2008,IL,17103,47.59
2008,IL,17105,39.61
2008,IL,17107,40.71
2008,IL,17109,52.01
2008,IL,17111,51.91
2008,IL,17113,49.75
2008,IL,17115,49.76
2008,IL,17117,54.04
2008,IL,17119,53.75
2008,IL,17121,48.06
2008,IL,17123,48.65
2008,IL,17125,52.03
2008,IL,17127,37.48
2008,IL,17129,41.86
2008,IL,17131,55.23
2008,IL,17133,43.98
2008,IL,17135,50.43
2008,IL,17137,48.64
2008,IL,17139,42.62
2008,IL,17141,45.28
2008,IL,17143,56.19
2008,IL,17145,47.03
2008,IL,17147,42.88
2008,IL,17149,39.71
2008,IL,17151,37.88
2008,IL,17153,50.09
2008,IL,17155,56.94
2008,IL,17157,48.64
2008,IL,17159,41.58
2008,IL,17161,61.71
2008,IL,17163,60.57
2008,IL,17165,44.48
2008,IL,17167,51.39
2008,IL,17169,49.7
2008,IL,17171,41.92
2008,IL,17173,39.06
2008,IL,17175,46.68
2008,IL,17177,52.53
2008,IL,17179,46.02
2008,IL,17181,42.98
2008,IL,17183,49.42
2008,IL,17185,42.58
2008,IL,17187,53.38
2008,IL,17189,42.13
2008,IL,17191,31.56
2008,IL,17193,44.48
2008,IL,17195,58.01
2008,IL,17197,56.0
2008,IL,17199,41.9
2008,IL,17201,55.57
2008,IL,17203,35.92
2008,IN,18001,36.47
2008,IN,18003,47.41
2008,IN,18005,43.7
2008,IN,18007,40.98
2008,IN,18009,49.2
2008,IN,18011,36.6
2008,IN,18013,47.85
2008,IN,18015,42.77
2008,IN,18017,44.79
2008,IN,18019,46.0
2008,IN,18021,43.48
2008,IN,18023,42.83
2008,IN,18025,48.19
2008,IN,18027,31.83
2008,IN,18029,32.06
2008,IN,18031,37.11
2008,IN,18033,41.84
2008,IN,18035,56.92
2008,IN,18037,47.12
2008,IN,18039,43.94
2008,IN,18041,46.39
2008,IN,18043,44.51
2008,IN,18045,41.75
2008,IN,18047,32.08
2008,IN,18049,41.11
2008,IN,18051,42.76
2008,IN,18053,42.94
2008,IN,18055,41.89
2008,IN,18057,38.51
2008,IN,18059,34.67
2008,IN,18061,40.29
2008,IN,18063,37.79
2008,IN,18065,47.18
2008,IN,18067,46.27
2008,IN,18069,35.79
2008,IN,18071,42.33
2008,IN,18073,39.18
2008,IN,18075,45.08
2008,IN,18077,46.37
2008,IN,18079,44.87
2008,IN,18081,36.75
2008,IN,18083,46.08
2008,IN,18085,30.65
2008,IN,18087,38.59
2008,IN,18089,66.73
2008,IN,18091,60.23
2008,IN,18093,38.89
2008,IN,18095,52.58
2008,IN,18097,63.79
2008,IN,18099,42.53
2008,IN,18101,34.8
2008,IN,18103,39.42
2008,IN,18105,65.57
2008,IN,18107,39.34
2008,IN,18109,35.85
2008,IN,18111,43.42
2008,IN,18113,41.62
2008,IN,18115,39.68
2008,IN,18117,41.92
2008,IN,18119,43.7
2008,IN,18121,41.99
2008,IN,18123,60.55
2008,IN,18125,44.79
2008,IN,18127,53.0
2008,IN,18129,45.63
2008,IN,18131,41.35
2008,IN,18133,43.25
2008,IN,18135,44.77
2008,IN,18137,34.35
2008,IN,18139,42.33
2008,IN,18141,58.04
2008,IN,18143,48.11
2008,IN,18145,39.76
2008,IN,18147,49.49
2008,IN,18149,50.48
2008,IN,18151,44.42
2008,IN,18153,48.78
2008,IN,18155,45.0
2008,IN,18157,55.21
2008,IN,18159,41.52
2008,IN,18161,36.56
2008,IN,18163,50.77
2008,IN,18165,56.1
2008,IN,18167,57.29
2008,IN,18169,39.33
2008,IN,18171,43.9
2008,IN,18173,43.01
2008,IN,18175,40.35
2008,IN,18177,47.12
2008,IN,18179,33.68
2008,IN,18181,44.94
2008,IN,18183,38.6
2008,IA,19001,47.47
2008,IA,19003,50.68
2008,IA,19005,56.25
2008,IA,19007,48.09
2008,IA,19009,50.63
2008,IA,19011,51.47
2008,IA,19013,60.49
2008,IA,19015,52.81
2008,IA,19017,53.92
2008,IA,19019,58.52
2008,IA,19021,48.41
2008,IA,19023,46.94
2008,IA,19025,45.06
2008,IA,19027,51.04
2008,IA,19029,43.69
2008,IA,19031,54.02
2008,IA,19033,59.67
2008,IA,19035,45.4
2008,IA,19037,59.59
2008,IA,19039,49.92
2008,IA,19041,46.74
2008,IA,19043,57.79
2008,IA,19045,60.75
2008,IA,19047,51.66
2008,IA,19049,46.41
2008,IA,19051,44.04
2008,IA,19053,48.42
2008,IA,19055,52.23
2008,IA,19057,60.58
2008,IA,19059,46.69
2008,IA,19061,59.66
2008,IA,19063,51.25
2008,IA,19065,57.59
2008,IA,19067,59.6
2008,IA,19069,50.02
2008,IA,19071,47.46
2008,IA,19073,49.35
2008,IA,19075,40.86
2008,IA,19077,44.89
2008,IA,19079,49.74
2008,IA,19081,47.3
2008,IA,19083,49.59
2008,IA,19085,46.91
2008,IA,19087,46.38
2008,IA,19089,62.2
2008,IA,19091,42.17
2008,IA,19093,40.99
2008,IA,19095,49.17
2008,IA,19097,61.3
2008,IA,19099,52.78
2008,IA,19101,58.74
2008,IA,19103,69.92
2008,IA,19105,54.44
2008,IA,19107,46.97
2008,IA,19109,50.84
2008,IA,19111,57.02
2008,IA,19113,60.02
2008,IA,19115,51.28
2008,IA,19117,45.38
2008,IA,19119,26.94
2008,IA,19121,44.02
2008,IA,19123,40.83
2008,IA,19125,43.58
2008,IA,19127,53.72
2008,IA,19129,40.87
2008,IA,19131,55.13
2008,IA,19133,47.85
2008,IA,19135,46.42
2008,IA,19137,43.99
2008,IA,19139,57.12
2008,IA,19141,31.88
2008,IA,19143,33.16
2008,IA,19145,39.42
2008,IA,19147,50.52
2008,IA,19149,37.0
2008,IA,19151,44.88
2008,IA,19153,56.43
2008,IA,19155,48.29
2008,IA,19157,55.02
2008,IA,19159,45.97
2008,IA,19161,44.65
2008,IA,19163,56.65
2008,IA,19165,44.37
2008,IA,19167,18.18
2008,IA,19169,57.0
2008,IA,19171,55.36
2008,IA,19173,44.51
2008,IA,19175,50.77
2008,IA,19177,42.85
2008,IA,19179,55.36
2008,IA,19181,49.43
2008,IA,19183,48.65
2008,IA,19185,45.54
2008,IA,19187,53.45
2008,IA,19189,53.5
2008,IA,19191,60.54
2008,IA,19193,49.07
2008,IA,19195,60.3
2008,IA,19197,48.51
2008,KS,20001,37.39
2008,KS,20003,32.4
2008,KS,20005,45.07
2008,KS,20007,24.29
2008,KS,20009,27.38
2008,KS,20011,35.3
2008,KS,20013,30.1
2008,KS,20015,32.86
2008,KS,20017,27.67
2008,KS,20019,21.65
2008,KS,20021,37.19
2008,KS,20023,21.56
2008,KS,20025,21.14
