FIPStxt,Stabr,Unemployment_rate_2008,Unemployment_rate_2012,Unemployment_rate_2016
27041,MN,5.0,5.0,3.5
27043,MN,6.2,5.8,4.4
27045,MN,6.1,5.5,4.0
27047,MN,5.7,5.8,3.8
27049,MN,5.7,5.2,3.7
27051,MN,7.0,6.1,4.7
27053,MN,4.9,5.2,3.3
27055,MN,5.8,5.8,3.9
27057,MN,7.6,8.0,6.5
27059,MN,6.9,7.0,4.7
27061,MN,7.9,7.8,8.5
27063,MN,4.2,4.5,4.5
27065,MN,10.3,9.0,6.5
27067,MN,5.0,5.2,3.8
27069,MN,5.7,5.8,4.6
27071,MN,7.7,8.0,8.5
27073,MN,4.8,5.0,4.3
27075,MN,5.3,6.0,6.3
27077,MN,6.0,6.1,4.8
27079,MN,7.4,6.5,4.9
27081,MN,5.1,4.7,3.7
27083,MN,4.4,4.4,3.6
27085,MN,6.0,6.8,4.4
27087,MN,7.2,6.9,5.8
27089,MN,7.9,7.7,7.3
27091,MN,4.9,5.6,4.1
27093,MN,6.6,6.6,4.5
27095,MN,9.0,8.3,5.9
27097,MN,7.6,7.1,5.6
27099,MN,4.6,5.0,3.2
27101,MN,5.1,5.2,4.7
27103,MN,4.3,4.6,2.8
27105,MN,4.2,4.3,3.8
27107,MN,5.6,5.9,4.8
27109,MN,4.4,4.4,3.0
27111,MN,6.1,5.6,4.3
27113,MN,7.1,6.6,5.7
27115,MN,8.6,7.5,5.8
27117,MN,4.4,5.0,3.8
27119,MN,5.0,6.2,4.3
27121,MN,5.3,4.7,3.5
27123,MN,5.3,5.7,3.6
27125,MN,7.9,7.2,7.3
27127,MN,5.4,5.5,4.1
27129,MN,5.8,6.8,5.2
27131,MN,5.9,5.8,3.5
27133,MN,3.9,3.6,2.3
27135,MN,4.9,4.7,5.1
27137,MN,6.3,6.5,5.7
27139,MN,5.0,5.0,3.2
27141,MN,6.2,6.2,4.1
27143,MN,6.3,6.0,4.3
27145,MN,5.6,5.4,3.8
27147,MN,5.1,5.4,3.6
27149,MN,4.7,4.2,3.0
27151,MN,6.1,6.2,5.4
27153,MN,6.5,5.8,4.7
27155,MN,5.5,5.0,3.9
27157,MN,5.0,5.2,3.7
27159,MN,8.2,7.8,5.9
27161,MN,5.4,5.8,4.3
27163,MN,5.0,5.1,3.3
27165,MN,6.5,5.6,4.9
27167,MN,4.4,4.7,3.2
27169,MN,4.8,4.9,3.5
27171,MN,6.1,5.9,3.8
27173,MN,5.1,5.0,3.8
28000,MS,6.6,9.0,5.8
28001,MS,6.5,9.9,8.2
28003,MS,7.6,8.7,5.2
28005,MS,7.0,10.0,7.3
28007,MS,8.9,9.8,6.7
28009,MS,11.0,10.6,6.7
28011,MS,8.4,10.6,7.2
28013,MS,8.8,8.3,5.3
28015,MS,7.0,11.0,7.2
28017,MS,10.7,10.2,6.5
28019,MS,7.9,9.1,5.6
28021,MS,10.7,15.4,11.3
28023,MS,7.6,10.8,6.7
28025,MS,12.8,14.1,8.1
28027,MS,9.0,12.6,8.7
28029,MS,7.1,11.0,6.5
28031,MS,5.9,8.5,5.4
28033,MS,4.6,6.5,4.2
28035,MS,5.6,9.0,5.7
28037,MS,7.5,9.8,7.1
28039,MS,7.4,10.2,7.4
28041,MS,9.0,11.2,7.3
28043,MS,7.3,9.2,5.1
28045,MS,5.5,8.5,6.1
28047,MS,5.4,8.2,5.5
28049,MS,5.9,8.8,5.4
28051,MS,12.9,16.5,11.0
28053,MS,9.6,19.0,11.4
28055,MS,8.6,17.6,14.0
28057,MS,8.0,8.4,5.0
28059,MS,5.7,9.5,6.5
28061,MS,7.0,10.2,7.6
28063,MS,13.1,17.4,14.9
28065,MS,6.8,12.9,8.2
28067,MS,5.2,7.6,6.1
28069,MS,8.1,13.1,8.7
28071,MS,5.2,7.7,4.9
28073,MS,4.6,6.5,4.5
28075,MS,6.7,9.0,5.8
28077,MS,7.7,10.3,7.1
28079,MS,6.7,9.2,6.0
28081,MS,6.9,8.3,4.8
28083,MS,8.8,14.0,9.0
28085,MS,7.2,8.6,5.7
28087,MS,7.6,9.1,6.1
28089,MS,5.1,6.2,4.3
28091,MS,6.9,10.2,6.5
28093,MS,8.0,10.9,6.0
28095,MS,9.6,11.1,6.3
28097,MS,8.6,11.7,6.4
28099,MS,5.3,8.4,5.7
28101,MS,6.5,8.0,5.9
28103,MS,13.5,13.1,8.2
28105,MS,6.2,8.4,5.4
28107,MS,8.3,12.1,7.3
28109,MS,6.6,8.2,5.9
28111,MS,8.1,11.5,7.1
28113,MS,6.9,10.5,6.8
28115,MS,7.7,7.8,4.7
28117,MS,8.0,8.6,5.4
28119,MS,8.8,13.9,9.7
28121,MS,4.1,5.7,3.9
28123,MS,5.0,7.6,4.6
28125,MS,8.5,13.6,8.7
28127,MS,5.8,8.2,5.4
28129,MS,6.4,7.3,5.2
28131,MS,5.8,10.3,6.7
28133,MS,10.2,14.4,9.3
28135,MS,8.3,11.3,6.8
28137,MS,6.7,9.2,5.8
28139,MS,9.9,10.1,5.5
28141,MS,8.8,10.3,5.5
28143,MS,10.5,12.3,7.1
28145,MS,6.9,8.0,4.4
28147,MS,7.1,11.2,7.7
28149,MS,6.3,9.0,6.3
28151,MS,9.4,14.5,9.0
28153,MS,7.4,11.1,7.3
28155,MS,9.2,9.1,6.2
28157,MS,7.9,12.3,10.1
28159,MS,7.4,11.5,7.1
28161,MS,8.5,10.1,6.2
28163,MS,8.7,11.2,7.3
29000,MO,6.1,6.9,4.6
29001,MO,5.3,7.0,5.7
29003,MO,4.8,5.3,3.7
29005,MO,4.8,6.4,4.6
29007,MO,6.2,6.5,4.3
29009,MO,5.5,7.1,4.5
29011,MO,9.3,7.4,5.2
29013,MO,7.2,8.2,5.3
29015,MO,6.9,9.1,6.1
29017,MO,6.7,7.0,5.2
29019,MO,4.4,4.5,3.3
29021,MO,5.2,6.3,4.1
29023,MO,6.2,8.2,5.7
29025,MO,6.7,7.0,4.7
29027,MO,5.4,6.2,4.1
29029,MO,6.3,9.6,5.8
29031,MO,5.2,5.5,4.3
29033,MO,7.1,8.3,5.4
29035,MO,7.2,9.5,7.1
29037,MO,6.0,6.7,4.2
29039,MO,6.5,7.4,5.0
29041,MO,6.2,6.5,4.4
29043,MO,5.0,5.8,3.9
29045,MO,6.1,8.1,7.3
29047,MO,5.2,6.1,3.9
29049,MO,5.9,7.0,4.2
29051,MO,4.5,5.2,3.6
29053,MO,5.7,7.2,4.9
29055,MO,8.1,8.8,5.3
29057,MO,6.3,7.5,4.5
29059,MO,7.6,9.1,5.5
29061,MO,5.4,6.9,3.9
29063,MO,6.3,5.9,4.4
29065,MO,7.7,8.2,5.4
29067,MO,6.8,9.8,6.1
29069,MO,7.9,10.4,8.2
29071,MO,7.5,7.9,4.4
29073,MO,7.6,7.1,4.3
29075,MO,4.5,5.3,3.7
29077,MO,5.1,5.9,3.8
29079,MO,5.6,6.4,4.6
29081,MO,4.9,7.3,4.2
29083,MO,6.7,7.8,5.0
29085,MO,9.7,12.0,5.6
29087,MO,5.0,5.2,3.2
29089,MO,6.0,6.8,4.4
29091,MO,5.7,8.1,6.3
29093,MO,5.7,11.4,7.2
29095,MO,6.9,7.8,5.1
29097,MO,5.2,5.9,4.2
29099,MO,6.9,7.2,4.3
29101,MO,5.3,7.7,4.9
29103,MO,4.7,5.6,3.6
29105,MO,7.6,9.2,5.5
29107,MO,6.1,7.1,4.3
29109,MO,4.8,6.5,4.4
29111,MO,4.8,5.5,4.5
29113,MO,7.8,8.3,4.5
29115,MO,7.0,9.2,6.7
29117,MO,5.2,6.2,3.9
29119,MO,4.9,6.7,4.3
29121,MO,6.0,6.7,4.8
29123,MO,6.1,8.3,5.5
29125,MO,6.3,7.2,5.0
29127,MO,5.6,6.1,4.3
29129,MO,4.8,5.2,4.6
29131,MO,6.7,9.0,5.2
29133,MO,7.3,7.9,6.6
29135,MO,5.5,6.6,4.3
29137,MO,7.0,7.7,4.8
29139,MO,7.2,7.9,4.6
29141,MO,7.5,9.9,5.9
29143,MO,7.1,8.1,9.3
29145,MO,5.5,6.2,4.4
29147,MO,4.2,5.6,4.7
29149,MO,5.9,7.9,6.0
29151,MO,6.2,5.0,3.4
29153,MO,6.1,10.2,7.3
29155,MO,7.4,9.6,8.9
29157,MO,4.6,5.1,3.6
29159,MO,6.2,7.1,4.9
29161,MO,5.9,7.1,4.8
29163,MO,5.7,6.8,4.5
29165,MO,4.8,5.5,3.6
29167,MO,6.1,7.7,4.9
29169,MO,5.7,8.1,5.4
29171,MO,5.4,5.9,4.6
29173,MO,5.3,6.4,4.0
29175,MO,6.1,8.7,5.3
29177,MO,6.4,8.2,4.9
29179,MO,7.3,10.9,6.5
29181,MO,6.7,10.5,7.1
29183,MO,5.5,5.6,3.5
29185,MO,7.1,7.9,6.3
29186,MO,5.9,7.3,4.7
29187,MO,7.1,8.9,5.5
29189,MO,6.0,6.5,4.2
29195,MO,5.7,6.6,4.7
29197,MO,6.4,7.4,6.3
29199,MO,6.6,5.0,4.1
29201,MO,6.6,7.0,5.7
29203,MO,7.9,11.0,7.4
29205,MO,5.3,6.0,4.2
29207,MO,7.5,8.7,6.4
29209,MO,7.8,11.1,7.0
29211,MO,5.8,6.8,5.8
29213,MO,7.7,11.3,7.4
29215,MO,6.9,8.2,6.3
29217,MO,5.6,5.9,4.9
29219,MO,7.5,7.5,4.2
29221,MO,10.2,10.6,6.3
29223,MO,6.8,9.0,5.3
29225,MO,5.7,7.1,4.9
29227,MO,5.5,4.2,3.0
29229,MO,7.2,8.4,5.9
29510,MO,7.8,8.5,5.5
30000,MT,5.1,6.0,4.1
30001,MT,4.1,5.4,3.3
30003,MT,8.3,12.1,7.2
30005,MT,4.5,6.4,4.6
30007,MT,5.6,7.5,4.9
30009,MT,4.3,4.7,3.9
30011,MT,3.3,3.2,2.7
30013,MT,4.7,5.6,4.0
30015,MT,3.6,3.9,3.7
30017,MT,4.2,3.6,3.5
30019,MT,3.7,3.2,2.6
30021,MT,3.7,3.3,3.8
30023,MT,6.7,5.6,3.8
30025,MT,2.6,2.1,3.6
30027,MT,4.8,5.4,3.9
30029,MT,6.7,9.0,5.6
30031,MT,4.2,5.1,2.8
30033,MT,3.5,3.1,2.9
30035,MT,9.2,9.9,8.5
30037,MT,5.0,4.6,4.5
30039,MT,6.7,8.1,5.9
30041,MT,5.1,5.8,4.3
30043,MT,4.6,5.5,4.6
30045,MT,4.4,5.2,3.4
30047,MT,7.5,7.7,4.7
30049,MT,4.2,4.9,3.3
30051,MT,4.2,4.2,3.1
30053,MT,10.8,12.5,9.0
30055,MT,2.8,2.9,1.9
30057,MT,4.2,6.2,3.8
30059,MT,7.0,5.5,4.0
30061,MT,7.2,10.9,7.6
30063,MT,5.0,5.9,3.7
30065,MT,5.9,5.4,5.1
30067,MT,5.3,7.0,4.3
30069,MT,5.6,4.3,4.7
30071,MT,5.1,6.0,5.3
30073,MT,5.5,4.9,4.2
30075,MT,3.6,3.7,2.3
30077,MT,7.7,6.5,5.0
30079,MT,4.2,4.3,3.4
30081,MT,6.6,7.6,4.8
30083,MT,3.2,2.8,5.0
30085,MT,7.4,6.6,5.3
30087,MT,6.3,6.8,5.5
30089,MT,10.4,11.5,7.7
30091,MT,3.2,3.0,3.3
30093,MT,4.9,6.1,4.3
30095,MT,4.4,4.5,4.0
30097,MT,2.7,3.9,3.1
30099,MT,4.2,4.9,3.6
30101,MT,3.3,4.2,3.5
30103,MT,4.2,5.0,4.2
30105,MT,4.3,4.2,3.4
30107,MT,4.1,6.3,5.0
30109,MT,3.6,3.2,3.9
30111,MT,3.8,4.6,3.6
31000,NE,3.3,4.0,3.1
31001,NE,3.1,3.8,3.1
31003,NE,3.0,3.3,2.6
31005,NE,3.7,6.5,5.7
31007,NE,2.5,4.6,3.4
31009,NE,4.9,5.3,4.2
31011,NE,2.6,3.1,2.6
31013,NE,3.7,4.0,3.6
31015,NE,3.2,3.9,3.0
31017,NE,2.7,4.1,3.6
31019,NE,2.5,3.3,2.5
31021,NE,4.2,4.7,3.7
31023,NE,2.9,3.3,3.2
31025,NE,3.7,4.6,3.4
31027,NE,2.5,2.9,2.5
31029,NE,2.7,2.4,2.1
31031,NE,2.4,2.9,2.2
31033,NE,2.8,2.8,2.8
31035,NE,3.2,3.7,3.1
31037,NE,2.6,3.5,2.8
31039,NE,2.9,3.1,2.9
31041,NE,2.4,2.9,2.3
31043,NE,4.2,5.8,4.1
31045,NE,2.9,3.6,3.0
31047,NE,4.0,4.4,3.0
31049,NE,2.9,3.3,2.5
31051,NE,3.2,4.1,3.3
31053,NE,3.5,4.5,3.1
31055,NE,3.7,4.5,3.3
31057,NE,2.9,3.0,2.2
31059,NE,3.0,3.3,2.8
31061,NE,3.0,3.6,3.0
31063,NE,2.8,3.2,2.8
31065,NE,2.9,3.5,2.8
31067,NE,4.7,5.0,3.3
31069,NE,3.0,3.2,3.3
31071,NE,2.6,3.0,2.5
31073,NE,3.2,3.0,2.6
31075,NE,2.9,3.4,2.2
31077,NE,2.9,3.6,3.1
31079,NE,3.1,4.0,3.7
31081,NE,2.4,3.3,2.8
31083,NE,3.1,3.2,2.5
31085,NE,3.8,3.0,2.4
31087,NE,3.4,4.1,3.6
31089,NE,2.7,3.2,2.5
31091,NE,4.3,4.6,3.6
31093,NE,3.1,3.6,3.3
31095,NE,3.9,3.8,2.4
31097,NE,3.2,4.3,3.2
31099,NE,2.7,2.9,2.4
31101,NE,2.9,3.7,2.9
31103,NE,4.8,3.1,2.1
31105,NE,3.4,3.3,4.1
31107,NE,3.2,3.4,3.1
31109,NE,3.1,3.6,2.8
31111,NE,3.0,3.9,3.1
31113,NE,2.2,3.2,2.9
31115,NE,3.8,3.8,3.5
31117,NE,2.3,3.6,2.4
31119,NE,3.3,3.7,2.7
31121,NE,3.1,3.7,3.6
31123,NE,3.1,3.2,3.2
31125,NE,3.0,3.3,2.8
31127,NE,4.6,4.8,3.6
31129,NE,2.9,3.5,2.9
31131,NE,3.5,4.5,3.4
31133,NE,3.4,3.3,2.2
31135,NE,2.4,2.7,2.1
31137,NE,2.4,3.0,2.5
31139,NE,3.0,3.3,2.6
31141,NE,3.0,3.7,3.5
31143,NE,2.8,3.1,2.6
31145,NE,2.9,3.3,2.8
31147,NE,4.4,5.1,3.2
31149,NE,2.8,2.5,2.6
31151,NE,3.4,4.3,3.1
31153,NE,3.2,3.9,2.9
31155,NE,3.6,4.2,3.1
31157,NE,3.7,4.7,3.5
31159,NE,3.2,3.5,2.9
31161,NE,2.7,3.6,2.9
31163,NE,2.7,3.8,3.2
31165,NE,3.4,3.6,2.7
31167,NE,2.8,3.5,2.6
31169,NE,3.2,3.1,2.4
31171,NE,4.0,4.0,3.3
31173,NE,6.7,8.7,4.8
31175,NE,2.8,3.5,2.8
31177,NE,3.1,3.8,3.2
31179,NE,2.9,3.2,2.7
31181,NE,3.4,3.7,3.2
31183,NE,2.3,3.4,2.1
31185,NE,3.7,3.7,2.7
32000,NV,6.7,11.2,5.7
32001,NV,6.0,11.0,5.5
32003,NV,6.6,11.3,5.8
32005,NV,7.4,11.5,5.6
32007,NV,4.3,6.4,4.5
32009,NV,4.9,6.9,4.7
32011,NV,5.2,6.1,4.6
32013,NV,4.9,6.6,5.5
32015,NV,4.4,7.4,6.2
32017,NV,5.6,10.4,5.3
32019,NV,9.8,14.7,7.5
32021,NV,7.5,13.6,6.4
32023,NV,9.7,14.4,7.3
32027,NV,7.0,9.7,5.9
32029,NV,6.9,13.3,6.3
32031,NV,6.8,11.0,5.0
32033,NV,4.7,7.6,4.6
32510,NV,7.1,11.7,6.1
33000,NH,3.9,5.5,2.9
33001,NH,4.1,5.4,2.8
33003,NH,3.6,5.3,2.9
33005,NH,3.7,5.1,2.7
33007,NH,5.2,7.4,3.8
33009,NH,3.1,4.4,2.4
33011,NH,3.9,5.8,3.0
33013,NH,3.6,4.9,2.6
33015,NH,4.2,5.8,3.0
33017,NH,3.6,5.4,2.5
33019,NH,3.4,4.5,2.3
34000,NJ,5.3,9.3,5.0
34001,NJ,6.8,12.7,7.4
34003,NJ,4.4,7.7,4.2
34005,NJ,4.9,8.7,4.5
34007,NJ,5.9,10.7,5.5
34009,NJ,7.9,15.4,9.8
34011,NJ,7.9,13.1,7.5
34013,NJ,6.4,10.7,6.0
34015,NJ,5.3,10.1,5.1
34017,NJ,6.2,8.9,4.7
34019,NJ,3.7,6.8,3.8
34021,NJ,4.7,8.3,4.3
34023,NJ,4.9,8.6,4.4
34025,NJ,4.8,8.7,4.5
34027,NJ,3.9,7.1,3.9
34029,NJ,5.8,10.6,5.2
34031,NJ,6.6,11.1,6.2
34033,NJ,6.1,11.8,6.4
34035,NJ,4.0,7.4,4.1
34037,NJ,4.9,9.0,4.7
34039,NJ,5.6,9.5,5.2
34041,NJ,4.9,8.7,4.6
35000,NM,4.5,7.1,6.6
35001,NM,4.4,6.8,5.7
35003,NM,5.3,9.5,8.0
35005,NM,4.3,6.5,6.6
35006,NM,4.6,8.6,8.1
35007,NM,4.4,7.8,5.9
35009,NM,3.2,5.0,5.0
35011,NM,4.1,4.3,4.7
35013,NM,4.7,7.3,7.1
35015,NM,3.0,4.7,6.4
35017,NM,5.0,6.7,6.4
35019,NM,6.1,10.0,6.4
35021,NM,3.0,6.5,6.9
35023,NM,4.3,7.4,5.4
35025,NM,2.9,4.7,9.1
35027,NM,3.5,6.5,5.9
35028,NM,3.0,3.9,4.2
35029,NM,12.1,20.0,14.4
35031,NM,5.5,9.6,9.3
35033,NM,8.6,11.0,8.6
35035,NM,4.4,6.5,6.0
35037,NM,4.9,8.1,6.7
35039,NM,5.5,9.3,7.4
35041,NM,3.1,5.6,5.6
35043,NM,5.2,7.8,6.5
35045,NM,3.9,7.1,8.7
35047,NM,4.9,8.9,7.6
35049,NM,3.8,5.8,5.2
35051,NM,4.1,9.8,8.3
35053,NM,3.6,7.0,7.2
35055,NM,5.5,10.5,8.3
35057,NM,5.6,10.6,9.0
35059,NM,2.9,4.4,4.0
35061,NM,5.1,8.7,7.1
36000,NY,5.4,8.5,4.9
36001,NY,4.9,7.1,4.1
36003,NY,6.4,8.4,6.3
36005,NY,7.6,12.4,7.1
36007,NY,5.6,8.7,5.4
36009,NY,6.1,9.3,6.0
36011,NY,5.5,8.3,5.1
36013,NY,5.5,8.5,5.8
36015,NY,5.6,8.4,5.7
36017,NY,6.4,8.6,5.1
36019,NY,6.5,9.4,5.4
36021,NY,4.8,7.0,3.7
36023,NY,6.4,8.6,5.7
36025,NY,6.0,8.7,5.5
36027,NY,5.1,7.8,4.2
36029,NY,5.7,8.3,4.9
36031,NY,6.7,9.6,5.3
36033,NY,6.9,9.6,5.7
36035,NY,6.7,11.0,5.7
36037,NY,5.6,7.9,4.6
36039,NY,5.9,9.9,5.0
36041,NY,6.2,10.7,6.5
36043,NY,6.1,8.8,5.5
36045,NY,6.8,9.9,6.2
36047,NY,6.0,9.8,5.3
36049,NY,6.7,10.0,6.7
36051,NY,5.9,7.8,4.9
36053,NY,5.7,8.5,5.3
36055,NY,5.5,7.9,4.7
36057,NY,7.1,10.4,5.7
36059,NY,4.7,7.0,3.9
36061,NY,4.9,8.0,4.6
36063,NY,6.7,9.3,5.8
36065,NY,5.4,8.2,4.8
36067,NY,5.2,7.9,4.5
36069,NY,5.2,7.3,4.3
36071,NY,5.4,7.9,4.3
36073,NY,6.9,9.7,5.7
36075,NY,7.0,11.0,6.5
36077,NY,5.7,7.9,4.9
36079,NY,4.4,7.2,4.0
36081,NY,5.0,8.3,4.5
36083,NY,5.2,7.7,4.3
36085,NY,5.1,9.5,5.2
36087,NY,4.8,7.3,4.2
36089,NY,7.1,10.2,6.6
36091,NY,4.6,6.8,3.8
36093,NY,5.1,7.7,4.3
36095,NY,6.9,9.2,5.4
36097,NY,5.8,9.4,6.0
36099,NY,5.5,8.0,4.8
36101,NY,6.1,9.3,5.8
36103,NY,5.0,7.8,4.4
36105,NY,6.5,9.1,4.8
36107,NY,5.3,7.9,5.1
36109,NY,4.1,6.1,4.2
36111,NY,5.5,8.3,4.4
36113,NY,5.6,9.2,5.3
36115,NY,5.3,8.3,4.6
36117,NY,5.9,8.6,5.0
36119,NY,4.8,7.3,4.3
36121,NY,6.2,8.9,5.3
36123,NY,4.9,7.8,4.4
37000,NC,6.1,9.3,5.1
37001,NC,6.4,8.5,4.7
37003,NC,7.0,9.6,4.2
37005,NC,7.4,10.4,5.5
37007,NC,8.8,10.9,5.8
37009,NC,6.7,10.4,4.8
37011,NC,5.7,10.6,5.0
37013,NC,7.1,10.6,5.7
37015,NC,7.6,11.4,6.6
37017,NC,7.7,12.7,6.9
37019,NC,6.3,11.2,6.4
37021,NC,4.7,7.2,3.9
37023,NC,8.1,9.8,4.9
37025,NC,5.7,9.0,4.6
37027,NC,7.7,11.6,5.2
37029,NC,5.4,7.9,5.2
37031,NC,5.3,8.9,5.2
37033,NC,8.0,10.6,5.4
37035,NC,7.1,10.1,4.7
37037,NC,4.9,7.8,4.2
37039,NC,9.1,11.0,5.7
37041,NC,8.6,10.9,6.4
37043,NC,6.4,10.4,5.5
37045,NC,8.2,11.0,5.5
37047,NC,7.7,12.3,6.4
37049,NC,5.9,9.5,5.2
37051,NC,6.1,10.5,6.4
37053,NC,4.3,8.5,5.1
37055,NC,6.3,12.4,6.7
37057,NC,7.1,9.7,4.8
37059,NC,6.0,9.1,4.5
37061,NC,5.8,9.1,5.3
37063,NC,4.7,7.4,4.5
37065,NC,10.1,14.3,8.7
37067,NC,5.6,8.9,4.9
37069,NC,6.2,9.7,5.2
37071,NC,7.5,10.5,5.3
37073,NC,5.3,7.7,5.1
37075,NC,10.6,17.7,8.8
37077,NC,6.7,8.0,4.3
37079,NC,6.5,8.6,5.3
37081,NC,6.0,9.5,5.2
37083,NC,8.9,13.5,7.9
37085,NC,6.6,10.6,5.8
37087,NC,5.6,9.1,4.5
37089,NC,4.7,7.5,4.3
37091,NC,6.6,10.8,6.6
37093,NC,5.7,10.7,6.6
37095,NC,6.9,13.4,9.5
37097,NC,6.4,9.9,4.8
37099,NC,5.0,10.6,5.4
37101,NC,5.7,8.4,4.7
37103,NC,6.4,9.9,5.3
37105,NC,7.5,11.4,5.9
37107,NC,7.2,9.8,5.9
37109,NC,7.2,9.6,4.7
37111,NC,8.1,10.8,4.8
37113,NC,5.9,10.6,5.4
37115,NC,5.6,9.8,4.9
37117,NC,6.4,12.0,6.7
37119,NC,5.9,8.7,4.7
37121,NC,8.0,12.2,6.1
37123,NC,8.1,10.6,5.2
37125,NC,6.1,8.8,5.0
37127,NC,7.4,11.5,6.6
37129,NC,5.1,8.6,4.7
37131,NC,7.7,11.5,7.3
37133,NC,5.6,8.0,5.5
37135,NC,4.0,6.1,4.2
37137,NC,5.9,9.0,5.3
37139,NC,6.8,10.0,6.3
37141,NC,6.0,10.4,5.3
37143,NC,6.7,10.4,6.4
37145,NC,7.2,11.0,5.5
37147,NC,6.4,9.1,5.6
37149,NC,4.8,8.5,4.6
37151,NC,6.3,9.9,4.9
37153,NC,9.2,13.4,6.9
37155,NC,7.9,13.2,7.9
37157,NC,7.4,11.3,5.6
37159,NC,6.8,10.9,5.6
37161,NC,8.0,13.2,6.7
37163,NC,5.3,9.3,5.5
37165,NC,10.9,17.2,9.1
37167,NC,6.5,9.9,4.6
37169,NC,5.8,9.3,4.8
37171,NC,7.7,9.6,4.8
37173,NC,7.8,14.7,6.1
37175,NC,5.1,8.7,4.9
37177,NC,7.0,13.6,8.4
37179,NC,5.5,7.9,4.4
37181,NC,8.8,13.5,7.1
37183,NC,4.6,7.1,4.3
37185,NC,8.4,12.4,7.3
37187,NC,7.6,15.3,7.4
37189,NC,4.7,7.4,4.5
37191,NC,5.7,8.5,5.8
37193,NC,7.5,10.4,4.8
37195,NC,7.7,13.0,8.1
37197,NC,5.6,9.2,4.4
37199,NC,7.6,10.7,5.1
38000,ND,3.2,3.1,3.1
38001,ND,2.4,2.9,2.6
38003,ND,2.9,3.4,3.2
38005,ND,6.4,7.0,4.0
38007,ND,2.1,3.4,3.0
38009,ND,3.2,3.4,4.6
38011,ND,2.1,1.8,2.1
38013,ND,2.4,2.0,4.5
38015,ND,2.8,2.8,2.6
38017,ND,2.7,2.9,2.2
38019,ND,3.1,3.2,2.6
38021,ND,3.0,2.7,1.9
38023,ND,3.2,1.5,2.6
38025,ND,3.2,1.6,3.1
38027,ND,5.6,5.1,4.3
38029,ND,4.9,5.4,4.4
38031,ND,3.0,3.1,3.0
38033,ND,2.8,2.4,2.7
38035,ND,3.0,3.4,2.4
38037,ND,4.1,3.2,3.0
38039,ND,2.4,2.7,2.8
38041,ND,3.5,2.7,3.0
38043,ND,4.1,5.1,3.8
38045,ND,3.3,2.5,2.4
38047,ND,3.6,3.1,3.5
38049,ND,5.1,4.3,4.9
38051,ND,2.9,3.2,3.1
38053,ND,2.4,1.5,3.8
38055,ND,4.5,4.4,3.5
38057,ND,4.6,5.3,4.4
38059,ND,3.5,3.6,3.3
38061,ND,4.2,1.6,3.0
38063,ND,3.3,4.1,3.4
38065,ND,4.5,6.7,5.5
38067,ND,5.2,6.4,5.0
38069,ND,4.3,4.3,4.0
38071,ND,3.8,4.1,2.8
38073,ND,3.6,3.0,2.3
38075,ND,2.6,2.3,3.8
38077,ND,3.9,3.6,2.7
38079,ND,9.5,10.5,10.8
38081,ND,4.6,2.7,1.9
38083,ND,4.2,3.7,5.7
38085,ND,5.3,5.2,4.4
38087,ND,1.3,2.1,2.5
38089,ND,2.4,1.8,3.9
38091,ND,2.1,2.7,2.1
38093,ND,2.9,3.4,2.5
38095,ND,3.2,3.3,2.3
38097,ND,3.3,3.2,2.8
38099,ND,4.3,4.9,3.8
38101,ND,3.0,2.7,4.1
38103,ND,4.4,4.0,3.9
38105,ND,1.7,1.1,4.4
39000,OH,6.4,7.4,5.0
39001,OH,9.3,12.6,7.6
39003,OH,7.4,7.7,5.0
39005,OH,7.5,8.0,5.1
39007,OH,8.0,9.4,6.1
39009,OH,6.7,8.5,6.4
39011,OH,5.4,6.2,3.8
39013,OH,6.1,8.2,7.5
39015,OH,7.6,10.0,5.8
39017,OH,5.9,7.7,4.5
39019,OH,7.6,7.9,6.9
39021,OH,7.0,7.4,4.5
39023,OH,6.7,7.8,5.3
39025,OH,5.9,7.4,4.5
39027,OH,6.0,10.7,5.9
39029,OH,7.2,8.2,6.7
39031,OH,8.6,10.1,7.1
39033,OH,8.7,9.1,6.1
39035,OH,6.2,6.8,5.4
39037,OH,6.4,7.2,4.1
39039,OH,7.5,7.7,5.0
39041,OH,4.6,5.2,3.6
39043,OH,7.3,8.0,5.5
39045,OH,5.7,6.6,4.3
39047,OH,5.7,8.3,4.5
39049,OH,5.5,6.4,4.1
39051,OH,8.2,7.7,4.7
39053,OH,6.6,9.7,6.9
39055,OH,5.0,5.3,4.4
39057,OH,6.2,6.9,4.4
39059,OH,8.6,9.0,7.1
39061,OH,5.7,7.4,4.5
39063,OH,5.9,6.4,3.7
39065,OH,7.2,7.5,5.0
39067,OH,7.2,8.5,7.7
39069,OH,8.0,8.7,5.4
39071,OH,7.4,10.4,6.4
39073,OH,7.6,8.3,5.6
39075,OH,4.9,5.1,3.6
39077,OH,9.8,9.9,6.5
39079,OH,8.5,10.3,7.9
39081,OH,7.0,10.9,8.4
39083,OH,6.4,7.0,4.7
39085,OH,5.3,5.9,4.8
39087,OH,5.5,8.5,6.5
39089,OH,6.2,6.8,4.4
39091,OH,6.0,7.1,4.2
39093,OH,6.4,7.1,5.9
39095,OH,8.2,8.3,5.2
39097,OH,6.2,6.4,4.0
39099,OH,7.1,8.3,6.4
39101,OH,7.0,7.9,5.1
39103,OH,5.3,5.5,4.3
